date,symbol,name,open,high,low,close,change_percent,volume,amount,source
2024-07-22,000001,上证指数,2978.19,2978.6,2946.56,2964.22,-0.61,27874955900.0,316415000000.0,csindex
2024-07-22,000300,沪深300,3538.4,3540.19,3494.01,3514.92,-0.68,13212633700.0,217457000000.00003,csindex
2024-07-22,000688,科创50,749.32,756.68,747.38,752.0,0.34,480597561.0,20925000000.0,csindex
2024-07-22,000852,中证1000,4822.64,4848.31,4798.12,4826.87,0.11,11073212100.0,117656000000.0,csindex
2024-07-22,399001,深证成指,8908.21,8925.44,8823.78,8869.82,-0.3753,317628061.36,340102151200.0,tencent
2024-07-22,399006,创业板指,1729.28,1735.6,1713.37,1723.91,-0.0916,116734816.0,159536486000.0,tencent
2024-07-22,899050,北证50,724.34,732.39,720.14,724.53,0.03,521659550.0,4924000000.0,csindex
2024-07-23,000001,上证指数,2960.5,2960.5,2915.37,2915.37,-1.65,29629599400.0,307194000000.0,csindex
2024-07-23,000300,沪深300,3509.79,3509.79,3439.88,3439.88,-2.14,12889766000.0,202858000000.0,csindex
2024-07-23,000688,科创50,750.13,750.13,720.88,721.11,-4.11,428081633.0,19261000000.0,csindex
2024-07-23,000852,中证1000,4825.75,4825.75,4694.95,4694.95,-2.73,12049520100.0,121482000000.0,csindex
2024-07-23,399001,深证成指,8862.94,8862.94,8606.58,8606.58,-2.9678,352207187.4,354993771599.99994,tencent
2024-07-23,399006,创业板指,1721.93,1722.08,1671.44,1671.44,-3.0437,129222829.0,166042040500.0,tencent
2024-07-23,899050,北证50,725.05,734.12,711.46,711.46,-1.8,493686054.0,4679000000.0,csindex
2024-07-24,000001,上证指数,2909.15,2922.03,2894.29,2901.95,-0.46,30611885300.0,288660000000.0,csindex
2024-07-24,000300,沪深300,3432.35,3451.42,3408.41,3418.17,-0.63,12703626300.0,184884000000.0,csindex
2024-07-24,000688,科创50,720.47,726.31,712.33,713.32,-1.08,373510287.0,16207000000.0,csindex
2024-07-24,000852,中证1000,4682.06,4713.07,4625.42,4631.01,-1.36,12109198000.0,118859999999.99998,csindex
2024-07-24,399001,深证成指,8582.63,8640.33,8469.88,8493.1,-1.3185,343869450.32,338552788300.0,tencent
2024-07-24,399006,创业板指,1666.62,1682.96,1645.75,1650.91,-1.2283,125619573.0,160531751100.0,tencent
2024-07-24,899050,北证50,709.5,713.2,693.48,693.92,-2.46,480562649.0,4392000000.0,csindex
2024-07-25,000001,上证指数,2891.89,2897.77,2872.85,2886.74,-0.52,27463950000.0,273282000000.00003,csindex
2024-07-25,000300,沪深300,3404.61,3415.86,3383.8,3399.27,-0.55,13102224200.0,190131000000.0,csindex
