date,code,name,change_percent,amount,activity,rank,turnover_rate,net_inflow,source
2025-08-21,new_blhy,玻璃行业,1.1928,8957934500.0,37.5,3,,,sina_membership+tencent_equal_weight
2025-08-21,new_cbzz,船舶制造,-0.5397,5879245500.0,22.9167,39,,,sina_membership+tencent_equal_weight
2025-08-21,new_cmyl,传媒娱乐,0.4473,17725770700.0,58.3333,14,,,sina_membership+tencent_equal_weight
2025-08-21,new_dlhy,电力行业,0.7918,26581186600.0,72.9167,6,,,sina_membership+tencent_equal_weight
2025-08-21,new_dqhy,电器行业,-1.4898,31857879600.0,81.25,48,,,sina_membership+tencent_equal_weight
2025-08-21,new_dzqj,电子器件,-0.636,126592243100.0,97.9167,44,,,sina_membership+tencent_equal_weight
2025-08-21,new_dzxx,电子信息,-0.5215,137102576200.0,100.0,38,,,sina_membership+tencent_equal_weight
2025-08-21,new_fdc,房地产,-0.101,23849109900.0,66.6667,28,,,sina_membership+tencent_equal_weight
2025-08-21,new_fdsb,发电设备,-0.3681,44980641600.0,87.5,34,,,sina_membership+tencent_equal_weight
2025-08-21,new_fjzz,飞机制造,0.375,10686451800.0,43.75,17,,,sina_membership+tencent_equal_weight
2025-08-21,new_fzhy,纺织行业,0.2301,7575293800.0,31.25,21,,,sina_membership+tencent_equal_weight
2025-08-21,new_fzjx,纺织机械,-0.102,2883246900.0,10.4167,29,,,sina_membership+tencent_equal_weight
2025-08-21,new_fzxl,服装鞋类,1.0201,12939503600.0,50.0,5,,,sina_membership+tencent_equal_weight
2025-08-21,new_glql,公路桥梁,0.6354,2048438800.0,2.0833,9,,,sina_membership+tencent_equal_weight
2025-08-21,new_gsgq,供水供气,0.2943,2401306200.0,4.1667,19,,,sina_membership+tencent_equal_weight
2025-08-21,new_gthy,钢铁行业,0.4945,19633787000.0,60.4167,12,,,sina_membership+tencent_equal_weight
2025-08-21,new_hbhy,环保行业,0.6531,5906856200.0,25.0,8,,,sina_membership+tencent_equal_weight
2025-08-21,new_hghy,化工行业,0.3754,39309337200.0,83.3333,16,,,sina_membership+tencent_equal_weight
2025-08-21,new_hqhy,化纤行业,-0.0098,10331450700.0,41.6667,26,,,sina_membership+tencent_equal_weight
2025-08-21,new_jdhy,家电行业,0.4673,24800819300.0,68.75,13,,,sina_membership+tencent_equal_weight
2025-08-21,new_jdly,酒店旅游,0.268,12024610300.0,45.8333,20,,,sina_membership+tencent_equal_weight
2025-08-21,new_jjhy,家具行业,1.0239,3166529500.0,12.5,4,,,sina_membership+tencent_equal_weight
2025-08-21,new_jrhy,金融行业,-0.233,49577309900.0,89.5833,32,,,sina_membership+tencent_equal_weight
2025-08-21,new_jtys,交通运输,0.2272,26629985000.0,75.0,22,,,sina_membership+tencent_equal_weight
2025-08-21,new_jxhy,机械行业,-0.7435,61064824200.0,91.6667,45,,,sina_membership+tencent_equal_weight
2025-08-21,new_jzjc,建筑建材,0.0921,26459533700.0,70.8333,24,,,sina_membership+tencent_equal_weight
2025-08-21,new_kfq,开发区,-0.1958,5590534900.0,20.8333,31,,,sina_membership+tencent_equal_weight
2025-08-21,new_ljhy,酿酒行业,-0.5953,23468010300.0,64.5833,42,,,sina_membership+tencent_equal_weight
2025-08-21,new_mtc,摩托车,-0.7466,2801313300.0,8.3333,46,,,sina_membership+tencent_equal_weight
2025-08-21,new_mthy,煤炭行业,0.6789,13627174200.0,52.0833,7,,,sina_membership+tencent_equal_weight
2025-08-21,new_nlmy,农林牧渔,0.5496,22052576100.0,62.5,11,,,sina_membership+tencent_equal_weight
2025-08-21,new_nyhf,农药化肥,1.4193,15006131400.0,54.1667,2,,,sina_membership+tencent_equal_weight
2025-08-21,new_qczz,汽车制造,-0.5766,72209623700.0,95.8333,41,,,sina_membership+tencent_equal_weight
2025-08-21,new_qtxy,其它行业,-0.5705,7951611000.0,33.3333,40,,,sina_membership+tencent_equal_weight
2025-08-21,new_slzp,塑料制品,-0.4238,12247878300.0,47.9167,36,,,sina_membership+tencent_equal_weight
2025-08-21,new_snhy,水泥行业,-0.0602,5438279800.0,18.75,27,,,sina_membership+tencent_equal_weight
2025-08-21,new_sphy,食品行业,0.1417,16341148900.0,56.25,23,,,sina_membership+tencent_equal_weight
2025-08-21,new_swzz,生物制药,-0.1042,42423526100.0,85.4167,30,,,sina_membership+tencent_equal_weight
2025-08-21,new_sybh,商业百货,0.3009,27758804500.0,77.0833,18,,,sina_membership+tencent_equal_weight
2025-08-21,new_syhy,石油行业,2.0496,9295069400.0,39.5833,1,,,sina_membership+tencent_equal_weight
2025-08-21,new_tchy,陶瓷行业,-1.3669,2410320600.0,6.25,47,,,sina_membership+tencent_equal_weight
2025-08-21,new_wzwm,物资外贸,-0.4716,3971723400.0,14.5833,37,,,sina_membership+tencent_equal_weight
2025-08-21,new_ylqx,医疗器械,-0.288,8836957900.0,35.4167,33,,,sina_membership+tencent_equal_weight
2025-08-21,new_yqyb,仪器仪表,-0.3808,29128837300.0,79.1667,35,,,sina_membership+tencent_equal_weight
2025-08-21,new_ysbz,印刷包装,0.615,7376571200.0,29.1667,10,,,sina_membership+tencent_equal_weight
2025-08-21,new_ysjs,有色金属,-0.6027,67559299300.0,93.75,43,,,sina_membership+tencent_equal_weight
2025-08-21,new_zhhy,综合行业,0.3935,6339042300.0,27.0833,15,,,sina_membership+tencent_equal_weight
2025-08-21,new_zzhy,造纸行业,0.0039,5189686500.0,16.6667,25,,,sina_membership+tencent_equal_weight
