date,leader_1,leader_2,leader_3,laggard_1,laggard_2,laggard_3,industry_count,source
2025-08-15,玻璃行业,电器行业,有色金属,家具行业,陶瓷行业,飞机制造,48,sina_membership+tencent_equal_weight
2025-08-18,陶瓷行业,船舶制造,传媒娱乐,钢铁行业,农药化肥,煤炭行业,48,sina_membership+tencent_equal_weight
2025-08-19,陶瓷行业,酿酒行业,开发区,飞机制造,船舶制造,金融行业,48,sina_membership+tencent_equal_weight
2025-08-20,酿酒行业,化纤行业,纺织机械,船舶制造,医疗器械,公路桥梁,48,sina_membership+tencent_equal_weight
2025-08-21,石油行业,农药化肥,玻璃行业,电器行业,陶瓷行业,摩托车,48,sina_membership+tencent_equal_weight
2025-08-22,电子信息,仪器仪表,电子器件,农药化肥,钢铁行业,服装鞋类,48,sina_membership+tencent_equal_weight
2025-08-25,有色金属,酿酒行业,飞机制造,次新股,摩托车,纺织机械,49,sina_membership+tencent_equal_weight
2025-08-26,次新股,农药化肥,摩托车,其它行业,金融行业,船舶制造,49,sina_membership+tencent_equal_weight
2025-08-27,其它行业,电力行业,电子器件,次新股,纺织行业,医疗器械,49,sina_membership+tencent_equal_weight
2025-08-28,玻璃行业,开发区,电子器件,次新股,纺织机械,农林牧渔,49,sina_membership+tencent_equal_weight
2025-08-29,有色金属,酿酒行业,飞机制造,次新股,印刷包装,开发区,49,sina_membership+tencent_equal_weight
2025-09-01,有色金属,环保行业,仪器仪表,飞机制造,金融行业,家电行业,49,sina_membership+tencent_equal_weight
2025-09-02,纺织机械,电力行业,金融行业,电子信息,电子器件,陶瓷行业,49,sina_membership+tencent_equal_weight
2025-09-03,次新股,酒店旅游,陶瓷行业,飞机制造,船舶制造,电子信息,49,sina_membership+tencent_equal_weight
2025-09-04,商业百货,酒店旅游,家具行业,有色金属,飞机制造,电子器件,49,sina_membership+tencent_equal_weight
2025-09-05,电器行业,陶瓷行业,塑料制品,金融行业,公路桥梁,酿酒行业,49,sina_membership+tencent_equal_weight
2025-09-08,医疗器械,农药化肥,造纸行业,次新股,金融行业,酒店旅游,49,sina_membership+tencent_equal_weight
2025-09-09,房地产,摩托车,造纸行业,次新股,纺织机械,医疗器械,49,sina_membership+tencent_equal_weight
2025-09-10,石油行业,酒店旅游,传媒娱乐,农药化肥,煤炭行业,水泥行业,49,sina_membership+tencent_equal_weight
2025-09-11,电子器件,电器行业,电子信息,石油行业,酒店旅游,家具行业,49,sina_membership+tencent_equal_weight
2025-09-12,有色金属,钢铁行业,房地产,次新股,金融行业,酿酒行业,49,sina_membership+tencent_equal_weight
2025-09-15,次新股,纺织机械,农林牧渔,陶瓷行业,飞机制造,印刷包装,49,sina_membership+tencent_equal_weight
2025-09-16,印刷包装,家具行业,交通运输,有色金属,船舶制造,次新股,49,sina_membership+tencent_equal_weight
2025-09-17,摩托车,开发区,电器行业,陶瓷行业,酿酒行业,酒店旅游,49,sina_membership+tencent_equal_weight
2025-09-18,酒店旅游,次新股,摩托车,有色金属,金融行业,纺织机械,49,sina_membership+tencent_equal_weight
2025-09-19,酒店旅游,煤炭行业,飞机制造,摩托车,纺织机械,陶瓷行业,49,sina_membership+tencent_equal_weight
2025-09-22,摩托车,电子器件,电器行业,次新股,酒店旅游,造纸行业,49,sina_membership+tencent_equal_weight
2025-09-23,发电设备,供水供气,煤炭行业,酒店旅游,次新股,印刷包装,49,sina_membership+tencent_equal_weight
2025-09-24,开发区,摩托车,纺织机械,次新股,酒店旅游,煤炭行业,49,sina_membership+tencent_equal_weight
2025-09-25,电子信息,纺织机械,有色金属,陶瓷行业,家具行业,次新股,49,sina_membership+tencent_equal_weight
2025-09-26,次新股,化纤行业,农药化肥,电子信息,陶瓷行业,电子器件,49,sina_membership+tencent_equal_weight
2025-09-29,有色金属,金融行业,钢铁行业,次新股,摩托车,开发区,49,sina_membership+tencent_equal_weight
2025-09-30,飞机制造,有色金属,陶瓷行业,次新股,金融行业,环保行业,49,sina_membership+tencent_equal_weight
