date,symbol,name,open,high,low,close,change_percent,volume,amount,amount_source,amount_unit,source
2024-07-25,000001,平安银行,2891.89,2897.77,2872.85,2886.74,-0.52,27463950000.0,273282000000.00003,csindex,CNY,csindex
2024-07-25,159915,创业板ETF,1.61,1.627,1.607,1.614,-0.3088,5649908.0,912831600.0,tencent,CNY,tencent
2024-07-25,510300,沪深300ETF,3.253,3.265,3.23,3.248,-0.612,20455525.0,7073298500.0,tencent,CNY,tencent
2024-07-25,512760,芯片ETF国泰,0.407,0.411,0.404,0.406,-0.9756,3706636.0,301447000.0,tencent,CNY,tencent
2024-07-25,600519,贵州茅台,1336.56,1344.54,1316.55,1327.03,-0.713,28347.0,4054086700.0,tencent,CNY,tencent
2024-07-25,931152,中证创新药产业,1387.04,1411.44,1382.07,1397.78,0.38,393989298.0,9005000000.0,csindex,CNY,csindex
2024-07-25,H30007,芯片产业,1592.11,1610.07,1581.32,1588.82,-1.03,504058662.0,22572000000.0,csindex,CNY,csindex
2024-07-26,000001,平安银行,2886.0,2899.12,2875.4,2890.9,0.14,27838753600.0,275443000000.0,csindex,CNY,csindex
2024-07-26,159915,创业板ETF,1.617,1.638,1.615,1.627,0.8055,7502581.0,1220285900.0,tencent,CNY,tencent
2024-07-26,399971,中证传媒,853.51,867.32,852.63,863.75,1.29,950809171.0,7536000000.0,csindex,CNY,csindex
2024-07-26,510300,沪深300ETF,3.249,3.272,3.241,3.263,0.4618,13579703.0,4708501600.0,tencent,CNY,tencent
2024-07-26,512760,芯片ETF国泰,0.407,0.412,0.402,0.41,0.9852,3692647.0,300395700.0,tencent,CNY,tencent
2024-07-26,600519,贵州茅台,1327.03,1334.26,1307.44,1318.73,-0.6255,32354.0,4594928600.0,tencent,CNY,tencent
2024-07-26,931152,中证创新药产业,1397.93,1406.19,1387.57,1395.94,-0.13,382446369.0,8531999999.999999,csindex,CNY,csindex
2024-07-26,H30007,芯片产业,1588.52,1611.91,1574.4,1602.05,0.83,457415044.0,21530000000.0,csindex,CNY,csindex
2024-07-29,000001,平安银行,2889.47,2898.95,2878.58,2891.85,0.03,25689972700.0,260094999999.99997,csindex,CNY,csindex
2024-07-29,159915,创业板ETF,1.622,1.623,1.603,1.604,-1.4136,5724428.0,920370399.9999999,tencent,CNY,tencent
2024-07-29,399971,中证传媒,864.0,866.63,853.41,862.73,-0.12,978199273.0,7055000000.0,csindex,CNY,csindex
2024-07-29,510300,沪深300ETF,3.259,3.261,3.242,3.243,-0.6129,5949376.0,2058113200.0,tencent,CNY,tencent
2024-07-29,512760,芯片ETF国泰,0.409,0.412,0.402,0.403,-1.7073,2819914.0,229364400.0,tencent,CNY,tencent
2024-07-29,600519,贵州茅台,1311.54,1318.53,1294.54,1294.56,-1.8328,30869.0,4342610100.0,tencent,CNY,tencent
2024-07-29,931152,中证创新药产业,1396.59,1396.59,1378.38,1381.09,-1.06,356667149.0,8150000000.0,csindex,CNY,csindex
2024-07-29,H30007,芯片产业,1601.7,1613.36,1575.56,1575.56,-1.65,447550595.0,20494000000.0,csindex,CNY,csindex
2024-07-30,000001,平安银行,2885.22,2885.22,2865.15,2879.3,-0.43,26247883700.0,269477000000.0,csindex,CNY,csindex
2024-07-30,159915,创业板ETF,1.6,1.607,1.591,1.601,-0.187,6106035.0,975027400.0,tencent,CNY,tencent
2024-07-30,399971,中证传媒,859.85,864.77,852.77,860.75,-0.23,847471604.0,6423999999.999999,csindex,CNY,csindex
2024-07-30,510300,沪深300ETF,3.235,3.235,3.206,3.22,-0.7092,15250861.0,5228653800.0,tencent,CNY,tencent
2024-07-30,512760,芯片ETF国泰,0.401,0.408,0.397,0.407,0.9926,3231961.0,260140000.0,tencent,CNY,tencent
2024-07-30,600519,贵州茅台,1282.52,1286.81,1257.84,1276.53,-1.3928,51779.0,7103491600.0,tencent,CNY,tencent
2024-07-30,931152,中证创新药产业,1384.78,1398.07,1376.52,1382.21,0.08,491511279.0,12505000000.0,csindex,CNY,csindex
2024-07-30,H30007,芯片产业,1570.42,1596.85,1555.73,1591.74,1.03,511303397.0,21007000000.0,csindex,CNY,csindex
2024-07-31,000001,平安银行,2877.54,2940.59,2876.3,2938.75,2.06,41272341700.0,418872000000.0,csindex,CNY,csindex
2024-07-31,159915,创业板ETF,1.594,1.658,1.592,1.658,3.5603,14320519.0,2339588900.0,tencent,CNY,tencent
2024-07-31,399971,中证传媒,859.79,896.27,859.56,895.99,4.09,1588454275.0,13356000000.0,csindex,CNY,csindex
2024-07-31,510300,沪深300ETF,3.22,3.299,3.216,3.297,2.3913,15389083.0,5353003100.000001,tencent,CNY,tencent
2024-07-31,512760,芯片ETF国泰,0.405,0.423,0.404,0.422,3.6855,4659418.0,387000800.0,tencent,CNY,tencent
2024-07-31,600519,贵州茅台,1269.64,1323.81,1269.64,1317.82,3.2345,43272.0,6098149700.0,tencent,CNY,tencent
2024-07-31,931152,中证创新药产业,1379.83,1455.44,1375.93,1455.12,5.27,794497940.0,18655000000.0,csindex,CNY,csindex
2024-07-31,H30007,芯片产业,1582.53,1655.12,1580.99,1653.0,3.85,724213328.0,31848000000.0,csindex,CNY,csindex
2024-08-01,000001,平安银行,2940.12,2947.88,2928.83,2932.39,-0.22,34662113700.0,352586000000.0,csindex,CNY,csindex
2024-08-01,159915,创业板ETF,1.659,1.663,1.631,1.636,-1.3269,9030439.0,1484320300.0,tencent,CNY,tencent
2024-08-01,399971,中证传媒,895.45,903.19,885.01,888.09,-0.88,1121938382.0,9271000000.0,csindex,CNY,csindex
2024-08-01,510300,沪深300ETF,3.291,3.304,3.27,3.272,-0.7583,7965404.0,2783731500.0,tencent,CNY,tencent
2024-08-01,512760,芯片ETF国泰,0.424,0.43,0.419,0.425,0.7109,5217622.0,442911500.0,tencent,CNY,tencent
2024-08-01,600519,贵州茅台,1314.54,1316.54,1281.24,1282.7,-2.665,32038.0,4470988100.0,tencent,CNY,tencent
2024-08-01,931152,中证创新药产业,1454.92,1467.37,1436.35,1443.73,-0.78,550633152.0,12777000000.0,csindex,CNY,csindex
2024-08-01,H30007,芯片产业,1660.14,1683.9,1644.3,1662.38,0.57,707519974.0,30654000000.000004,csindex,CNY,csindex
2024-08-02,000001,平安银行,2913.02,2931.26,2902.72,2905.34,-0.92,31220503900.0,314918000000.0,csindex,CNY,csindex
2024-08-02,159915,创业板ETF,1.621,1.639,1.604,1.609,-1.6504,11190243.0,1810881099.9999998,tencent,CNY,tencent
2024-08-02,399971,中证传媒,882.09,895.26,876.64,877.96,-1.14,1054483739.0,8731000000.0,csindex,CNY,csindex
2024-08-02,510300,沪深300ETF,3.249,3.272,3.23,3.236,-1.1002,12997733.0,4492045000.0,tencent,CNY,tencent
2024-08-02,512760,芯片ETF国泰,0.419,0.424,0.411,0.413,-2.8235,3945415.0,329361200.0,tencent,CNY,tencent
2024-08-02,600519,贵州茅台,1270.14,1293.51,1270.14,1281.99,-0.0554,21928.0,3041726400.0,tencent,CNY,tencent
2024-08-02,931152,中证创新药产业,1440.32,1483.14,1438.42,1454.89,0.77,688855908.0,16346000000.0,csindex,CNY,csindex
2024-08-02,H30007,芯片产业,1637.81,1660.03,1611.25,1615.86,-2.8,617991412.0,27402999999.999996,csindex,CNY,csindex
2024-08-05,000001,平安银行,2889.36,2919.03,2860.7,2860.7,-1.54,35554057200.0,356863000000.0,csindex,CNY,csindex
2024-08-05,159915,创业板ETF,1.592,1.625,1.576,1.576,-2.051,12579838.0,2010902200.0,tencent,CNY,tencent
2024-08-05,399971,中证传媒,874.06,903.99,873.6,876.1,-0.21,1629706438.0,13937000000.0,csindex,CNY,csindex
2024-08-05,510300,沪深300ETF,3.22,3.263,3.196,3.197,-1.2052,20183109.0,6920794399.999999,tencent,CNY,tencent
2024-08-05,512760,芯片ETF国泰,0.407,0.413,0.394,0.395,-4.3584,5653525.0,454495199.99999994,tencent,CNY,tencent
2024-08-05,600519,贵州茅台,1285.42,1322.54,1282.06,1306.55,1.9158,37736.0,5327127100.0,tencent,CNY,tencent
2024-08-05,931152,中证创新药产业,1451.99,1491.5,1448.15,1448.54,-0.44,768713704.0,17627000000.0,csindex,CNY,csindex
